rank,movie_title,rating,year,star_cast,Director
125,Per qualche dollaro in più,8.201900223919916,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",Sergio Leone
126,Batman Begins,8.200741079330772,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine",Christopher Nolan
127,Dangal,8.199952099305124,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",Nitesh Tiwari
128,The Kid,8.193635802547862,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",Charles Chaplin
129,Some Like It Hot,8.192089910420693,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",Billy Wilder
130,All About Eve,8.181334195472258,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",Joseph L.
131,The Father,8.18062786893451,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",Florian Zeller
132,Green Book,8.175719972992841,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",Peter Farrelly
133,The Wolf of Wall Street,8.174046671587108,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",Martin Scorsese
134,Judgment at Nuremberg,8.170396165421758,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",Stanley Kramer
135,Ran,8.165747860563936,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",Akira Kurosawa
136,Casino,8.164054193143421,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",Martin Scorsese
137,Unforgiven,8.162590974490884,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",Clint Eastwood
138,Pan's Labyrinth,8.162286396498976,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",Guillermo del
139,Spider-Man: No Way Home,8.161988384182786,2021,"Jon Watts (dir.), Tom Holland, Zendaya",Jon Watts
140,There Will Be Blood,8.157269217430375,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",Paul Thomas
141,The Truman Show,8.155093525027631,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris",Peter Weir
142,The Sixth Sense,8.15377350838625,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",M. Night
143,A Beautiful Mind,8.15234287059982,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris",Ron Howard
144,Monty Python and the Holy Grail,8.14982239059789,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese",Terry Gilliam
145,Yôjinbô,8.149743899556361,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",Akira Kurosawa
146,The Treasure of the Sierra Madre,8.148517155758698,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston",John Huston
147,Shutter Island,8.146891083619801,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",Martin Scorsese
148,Jurassic Park,8.145591355413325,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern",Steven Spielberg
149,Rashômon,8.142167926185499,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",Akira Kurosawa
150,The Great Escape,8.142119206068438,1963,"John Sturges (dir.), Steve McQueen, James Garner",John Sturges
151,Kill Bill: Vol 1,8.137868589127878,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",Quentin Tarantino
152,No Country for Old Men,8.137078351635108,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",Ethan Coen
153,Finding Nemo,8.131715455237737,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",Andrew Stanton
154,The Elephant Man,8.129857834702188,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt",David Lynch
155,Chinatown,8.129097112134167,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",Roman Polanski
156,Raging Bull,8.127921522462255,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",Martin Scorsese
157,The Thing,8.127599374476704,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",John Carpenter
158,Gone with the Wind,8.12493072814222,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",Victor Fleming
159,V for Vendetta,8.124818155630376,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",James McTeigue
160,Inside Out,8.123244013503053,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader",Pete Docter
161,"Lock, Stock and Two Smoking Barrels",8.122004955608148,1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",Guy Ritchie
162,Dial M for Murder,8.120470966088838,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",Alfred Hitchcock
163,El secreto de sus ojos,8.117390249152297,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",Juan José
164,Hauru no ugoku shiro,8.115361425342396,2004,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",Hayao Miyazaki
165,The Bridge on the River Kwai,8.11318305671718,1957,"David Lean (dir.), William Holden, Alec Guinness",David Lean
166,"Three Billboards Outside Ebbing, Missouri",8.11147012091949,2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",Martin McDonagh
167,Trainspotting,8.1106065618929,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",Danny Boyle
168,Warrior,8.104077560932282,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",Gavin O'Connor
169,Gran Torino,8.103762986695692,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",Clint Eastwood
170,Fargo,8.102953371299238,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand",Joel Coen
171,Prisoners,8.099494270137004,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",Denis Villeneuve
172,Tonari no Totoro,8.093880752046232,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",Hayao Miyazaki
173,Million Dollar Baby,8.089549389295978,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",Clint Eastwood
174,Catch Me If You Can,8.08848676044486,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",Steven Spielberg
175,The Gold Rush,8.086795985224976,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",Charles Chaplin
176,Blade Runner,8.084883149122502,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",Ridley Scott
177,Bacheha-Ye aseman,8.084129806229994,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",Majid Majidi
178,On the Waterfront,8.083336999661705,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden",Elia Kazan
179,The Third Man,8.08081499040684,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten",Carol Reed
180,Before Sunrise,8.07924701800007,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",Richard Linklater
181,12 Years a Slave,8.079095841155848,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",Steve McQueen
182,Ben-Hur,8.078615124393176,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins",William Wyler
183,Smultronstället,8.078129313786064,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",Ingmar Bergman
